#B站推出青少年模式#,,,,
username,comment,interact,date,likes
袅蛋丶,是不是开了青少年模式，就不能自♂由了,null,5-30 13:33,
艾登从良,b站的弹幕我真的看不下去了，严重低龄,null,5-30 13:33,
柳浅诶嘿嘿,草 俺还差一年,null,5-30 13:33,1
京执散人,重点是，谁会点进入青少年模式？！点进去，还是能退出来,null,5-30 13:33,
不鼓顶不住,幸好我成年了,null,5-30 13:32,
老王在哪里呀,挺好的哈哈哈哈哈哈哈哈哈哈哈哈哈,null,5-30 13:31,
抽风的欧尼酱,我真的怕B站把满了16岁未满十八岁的也画进去=_=,null,5-30 13:29,1
52刘川枫,终于看不到某些脑残粉了,null,5-30 13:28,
柠萌嘟嘟666,事实证明，越是不让做的事情，人们反而更想做了。,null,5-30 13:24,
Remi_sama,干得漂亮,null,5-30 13:23,
会做炒饭的小龙虾owo,建议全网推行//@嘉嘉在广东:建议所有的视频app都推出，谢谢,null,5-30 13:22,
Melonsunn,今天无意间打开B站，跳出的小绿伞正让我百思不得其解,null,5-30 13:21,
H8-异常现象,nice低龄化很严重,null,5-30 13:18,
随影而逝是寂寞,没用呀，不从手机初始验证做限制。软件内就是个摆设，父母又不会每个软件都去开启吧,null,5-30 13:18,
Chenin今天好好学习了吗,还好我是个已经成年的00后老阿姨,null,5-30 13:17,
HUIHUITIG,微博不也有,null,5-30 13:17,
我忘了我以前的昵称,中国就应该直接搞分级，看看人家b站,null,5-30 13:17,
子非鱼and鱼之乐,有一种分级的感觉。这样很好，影视剧方面应该也这样,null,5-30 13:15,1
全世界一笑而过fly,,null,5-30 13:13,
TFboys永远十年,转发微博,null,5-30 13:10,
大邱杰尼龟,没有意思,null,5-30 13:10,
欺负我你试试,不错不错,null,5-30 13:09,
The_Agency,因缺思厅,null,5-30 13:09,
RIYEONG_Lucky,,null,5-30 13:08,
静语莫寻,太好了，成年人快被这些孩子搞疯了,null,5-30 13:08,
是唐晓芙呀,哈哈哈哈哈哈哈哈幸好我已经成年了,null,5-30 13:07,
千火翎,没想到第一批搞分级制度的是B站！,null,5-30 13:05,
请叫我final萌,能实名认证更好,null,5-30 13:04,
sr今天有猫了吗,所有APP都出一个,null,5-30 13:04,
你快瞎了请停止你现在的行为,@纸鹤雨筠,null,5-30 13:04,
青阶苔雨,分级也好，我愿意实名认证,null,5-30 13:03,
八August八,哈哈哈哈哈哈哈哈舒服,null,5-30 13:02,
重金求zi,b，，，味 后面👴忘了,null,5-30 13:02,
竞Hood,这个模式可以自己关掉的…,null,5-30 13:01,
己由不,微博也有…我也想设个青少年模式主要不想再看到那些小说广告还有其他东西,null,5-30 13:01,
