#儿童砸钱充值手游#,,,,
username,comment,interact,date,likes
夏日的思念baby,我们小时候哪有那么多玩的，都是在楼下和小伙伴跳皮筋，砸沙包，还COSPLAY还珠格格现在信息发达了便利了孩子接触的多了，感觉都失去了童真,null,2017-6-1,3
岳娇说微博的名字这么改好帅啊,先把孩子管好吧,null,2017-6-1,1
你说玩微博为啥要取名字呢,我现在已经在作死充钱了，马上我那个快出生的小孩就可以给我背锅了，想想还有点小激动,共2条回复,2017-6-1,3
赵玉Moya,这种家长？？？告了腾讯还有万万千的手游，不去教育你孩子，难道打算把所有游戏公司告一个遍？？？,null,2017-6-1,4
曲奇2335,实名制都已经下来了，你未成年的儿子不知道拿了谁的身份证去注册账号，你觉得是该告游戏公司还是教育小孩,null,2017-6-1,3
梅留科,看到你们都批评孩子我就放心了,null,2017-6-1,3
崩橘yuo,虽然觉得腾讯有时确实挺可恶的但这次我选择站在正义这方傻缺孩子，家长更傻缺，这种事能怪别人游戏公司？？？你把别人强奸了反过来怪别人是个女的👍🏻👍🏻服气！,共1条回复,2017-5-31,4
大大大大叔的大大大,我在我家放的老鼠药，你来我家偷东西，结果你把老鼠药吃了，你说我给你下的药,null,2017-5-31,2
29Ming,我支持家长的做法，也希望国家能对游戏方面做一个时间限制制度，以防长时间玩游戏造成对身体及身心的伤害。,共1条回复,2017-5-31,5
一起来呐喊GY,腾讯游戏害人不浅！,共4条回复,2017-5-31,4
么得啥子好说嘞,遥想当年，玩手游充钱？不存在的，谁玩个俄罗斯方块还充钱,null,2017-5-31,6
肆一先生,这个家长没说游戏错，是希望能加一点程序来完善，我相信腾讯能做到今天这一步，他的实力是可以做到的，比如身份证实名认证+视频认证+家长关联认证，为什么一直喊着未成年人禁止游戏，但是未成年人又占了游戏的一大部分市场呢？现实确实是满十八岁后的人没几年把心思放游戏上，二十几岁便开始工作，学生,null,2017-6-1,2
肆一先生,评论里不知道是不是估计那么多人那么说的，首先什么是未成年人什么是监护人，他们所具有什么样的权利和义务好多人都没弄清楚，很多人说告游戏公司不对，还拿马路摔跤来做比喻，你家门前马路要是修得时候都是坑坑包包，看你还会不会这么说，我自己也玩游戏，有时候也会买买皮肤充充钱，游戏本身没有错的,null,2017-6-1,2
远奔的帅羊驼驼,告腾讯的那个家长至少在视频里一直提出的是：腾讯应该设置相关的程序，预防未成年人在没有监护人的情况下充钱消费的行为。她一直提的是这个事。无数的人在下面喷说家长冷嘲热讽说不管孩子什么的，是不是偏离了这个视频的主题...,null,2017-6-1,2
旭哥哥就是旭哥哥,作为一个成年人我有时候都会忍不住充个钱，视频里也说了，家长是防不胜防。就算不给他手机，他也会想别的办法去各种消费，而且中国这么多孩子不可能都被管的住，所以只能从大头下手，游戏完善了，自然所有未成年玩家都能避免这些问题。,共1条回复,2017-6-1,2
落花非无情ll,有的小孩子太小，那么不太懂的按键，可能误点了钱就直接扣掉了！为什么不能询问功能，是否确认支付？,共1条回复,2017-6-1,1
立而方剪刀机,教不好孩子还怪游戏也是没谁了，游戏公司做慈善的？开发游戏不要钱？我在想是不是我也得去弄一个禁止未成年玩娃娃机,null,2017-6-1,1
宅夜千,支持起诉，这样也许以后就不会有坑队友的小学生了！,null,2017-6-1,1
Jason_95320,老马说，尽管告，告赢了位子给你坐,null,2017-6-1,2
baobeizuzutu2006,我想知道的是，家长要求退款的依据是什么？有什么证据证明是孩子玩的不是大人玩的？把身份证，帐号，密码都给孩子了，你还有理了是吧？,null,2017-6-1,2
姚二北,所以以后游戏公司要在全国各大城市开设专门的充值中心吗？需要你带着身份证去现场充值，充值帐号与个人信息完全一致，还要签合同，开发票哦？！！！！,null,2017-6-1,2
搞笑热门神吐槽,游戏实名制,null,2017-5-31,3
酷仔从不回头看Boom,趣味话题 有的放矢 强词夺理 不要碧莲,null,2017-6-1,1
你说玩微博为啥要取名字呢,那些说家人不可能防小孩的我也是醉了，不叫防，至少我上高中前我家人从不告诉我家里钱放哪，银行卡密码也会背着我输，也只能说家长也有责任。你自己的小孩未成年，没有明辨是非的能力那你为什么要给他机会？,null,2017-6-1,1
挣够一百万就改名,多少年每站过腾讯了。为了个脑残家长会，这次我站腾讯,共1条回复,2017-6-1,1
月夜捕手1986,“防不胜防”?家长这责任推的真好！,null,2017-6-1,2
雷霆嘎嘎大笑,某些“落后”的家长以为现在的智能机像以前的手机一样容易被莫名其妙扣钱不懂什么叫绑定红包指纹解锁密码支付，然而他们孩子会。所以怪运营商。,null,2017-6-1,1
周老D,如果腾讯败诉，我真的是日了狗了,null,2017-6-1,1
不要辣椒可以吗,"马化腾:""用心创造快乐，没钱玩你麻痹""",null,2017-6-1,1
不爱哭的小青年,作为一名开发者说一句，首先，家长责任站一半，支付密码不能允许任何人知道，这点安全意识都没有。其次，手机给孩子玩游戏，自己不监管，给了作案工具。游戏公司有责任，如果将防沉迷改为手持身份证，一个人只能认证有限制的号码，可在一定程度上解决这个问题。其实在这个问题上家长教育，监管更重要,null,2017-6-1,1
萌仔不想说话,挺无语的，孩子未成年，人家游戏公司咋能知道玩游戏的成年不成年？即使实名制，熊孩子照样可以拿大人身份证手机号来注册！作为父母 你手机不设密码，转账密码也让孩子知道，手机也给孩子玩，这能赖人家游戏公司吗？孩子教育好了，打死他都不敢偷偷转账,null,2017-6-1,1
三瓶橙子,我以为坚持告你儿子。。。阿西吧再逛微博三观都得废,null,2017-6-1,1
丶月满西楼丶柒,腾讯说，你不知道我叫没钱玩你麻痹？还有你这个逻辑跟女人被强奸了是因为别人穿的少有什么区别？！？,null,2017-6-1,1
我只有大圆跟有钱,别伤害孩子？搞得好像是游戏自己找你儿子玩的，你告啥我就想不通了,null,2017-6-1,1
公子関,看一下标题好么，拒绝退赔，坚持起诉好么。那些说限制行为能力的人，你们太天真了吧。不是要退钱而已好么。因为给退了还要告，这是为了赤果果的正（li）义（yi）啊,null,2017-6-1,1
哈喽路过5376,想起以前在大学，一个人偷了同宿舍的钱，他还怪人家把钱包放外面引诱他。,null,2017-6-1,1
喵大仙3,可以充值的时候输入身份证号再允许,null,2017-6-1,1
LooFhoo2,有这样的父母，不用害怕走上歧途，没走上歧途算他上辈子拯救了银河系,null,2017-6-1,1
hello我是太完美,这一次 我站腾讯 你知道王者荣耀玩家有多希望你们这些小学生不要来玩！不要玩啊！,null,2017-6-1,1
李卷卷ts,你家孩子是皇太子也得教育，手机是不是你们自己给的？自己都离不开手机还告人家。我要是你首先买个老人机，不要绑定银行卡，看看你娃会不会被骗。我们作为成年人也会冲动买下没必要的东西，我们就告商家？其身不正不要怪别人。,null,2017-6-1,1
麦扣Scofield,他还只是个孩子啊，一定不要放过他,null,2017-6-1,1
没有A梦的大雄,现在家长都疯了吧动漫中出现打人场景，你孩子打人，就说是跟动漫学的。游戏中有收费产品，你孩子偷钱，你就告人游戏教坏你孩子脑袋进屎了吗,null,2017-6-1,1
Samui_kun,到底是谁缺少监管，餐桌上见得多了父母把手机给孩子玩是谁让小孩子提前接触这类娱乐项目？,null,2017-6-1,1
夜夜枫雨急,实名没用，我没实名照样也能玩，这，，，，，腾讯真是牛逼啊逗人吗不是,null,2017-5-31,1
soundxc,未成年人禁止充钱，你让腾讯上哪挣钱去,null,2017-5-31,2
秀秀秀秀秀秀义,垃圾游戏，毁我青春，耗我钱财，占我内存，抢我五杀，qnmb,null,2017-5-31,1
UneasySmug,观点不同就开始骂,null,2017-5-31,1
D顺浪,这也不应该全怪腾讯吧,共2条回复,2017-5-31,1
儒农大叔,实名制名存实亡，多少应该担点责任。,null,2017-5-31,2
YouTube短片,杨叔在吗，杨叔,null,2017-5-31,2
剑寒水冷,中国还没有实行分级制的坏处,null,2017-5-31,2
南京这座城,没这些小学生，他怎么纳税，不纳税，哪里来的gdp,null,2017-5-31,2
财经新媒体,要时刻加强监管，不写主语,null,2017-5-31,3
嘻嘻嘻嘻猫洞,孩子喜欢模仿，玩游戏玩手机是不是从父母那里模仿来的呢？,null,2017-6-3,1
柘柟梅梓,@史英豪H: 我建议家长把冯·诺依曼给告了，因为他发明了现代计算机，把马丁·库伯给告了，他发明了手机，把微软公司告了，发明了win系统，把爱迪生等一些科学家给告了，谁让他们发明了电。这他妈都是导致你孩子给游戏充钱的原因，最后把自己也告了，自己的熊孩子教育不好，还整天告天告地的。装泰迪？,共1条回复,2017-6-1,1
卢西xi,那些喊着刷脸的囡囡们，你们跟身份证上明明是两个人好不？,null,2017-6-1,2
叫我李筱璇吧,你不给手机 规定上网时间不是什么事都没有吗起码我们家是这样的 高中毕业之前没有独立电子设备,null,2017-6-1,1
一只青鳞鱼,不再自己身上找原因？！,null,2017-6-1,1
屁孩Alan,感觉一旦限制了未成年禁止游戏…这群孩子又不知道能做出什么事儿来。被电子产品毁灭的一代。国家科技进步的同时要考虑清楚这些那些问题，不能一味着只在发展经济，教育才是国之根本！,null,2017-6-1,1
Anirac_,管不好儿子怪谁小时候就偷偷摸摸，长大不得杀人放火了。反正我家是从小不允许，偷拿家里的钱，放桌上的也是。想用可以问，但绝对不能偷拿。这就是教养问题，现在偷家里人钱，以后偷别人钱，难道要怪别人怎么不把钱放好，让人给偷了？十几岁没点基本道德理念，现在不教，难道等他做出更过分的事？,null,2017-6-1,1
大脸安琪拉,有人来和国服安琪拉开黑嘛,null,2017-6-1,1
桃鷂,说实话，教育肯定是应该的反正我爸妈把我教育得看到家里钱放着也不会拿。但是游戏对未成年人的限制措施也的确应该引起重视，毕竟孩子思想行为能力也不完善，而且讲真不少父母忙于工作疏于和孩子交流也是事实，有时候也真的防不胜防唉,null,2017-5-31,2
陈_健豪,感觉腾讯公司更加防不胜防！,null,2017-5-31,1
路远一生长,我以前在cf里冲了好几千 现在想想感觉好傻 明明可以冲刺心悦3的 我特么竟然忍住了,null,2017-5-31,1
lemotd,凭什么，你不让你家孩子玩游戏也把我们成年人的兴趣爱好扼杀了？！,null,2017-5-31,1
告诉我什么是喜欢,玩到钻石，就奖励自己买了个最喜欢的貂蝉圣诞皮肤就再也没在游戏花过什么钱了,null,2017-5-31,1
宁仔开车车,切，我妈就直接把我弟平板藏起来了，我弟开学就没碰过王者！,null,2017-5-31,1
_Chu,有这种父母教育出这种孩子很正常啊。配的不得了。活该啊,null,2017-5-31,1
啊锐1983_527,未成年人容易被游戏影响，有的游戏要实名制登记注册，,null,2017-5-31,1
槑玩槑了杰哥,父母固然有主要责任，但是游戏开发商难道就没有责任了？谁给孩子们的权利可以创建游戏账号的？是父母吗?是谁一遍又一遍的把这些广告打进孩子们的视野？在互联网飞速发展的今天，现在社会这些问题都是随之而来的，我们都要反思，在日新月异的当下，网络已经离不开生活，但，是否可以。。。,null,2017-5-31,2
切忌流汗,所以就算是打赢了官司孩子就会不玩游戏了吗？,null,2017-5-31,1
臭鸡汤,就这坑逼你不把它打死 还起诉 难怪你能教育出这样的儿子,null,2017-5-31,1
Zzz媛Y,为啥我玩王者一毛没充过，游戏嘛别当真娱乐而已,null,2017-5-31,3
鬼才神傅,这种家长也难怪教出这种孩子了,null,2017-5-31,2
红棠乀,@乀白棠 @沉袖乀,共1条回复,2017-5-31,
ulm-,@Monster_楷鸿,共2条回复,2017-5-31,
墨染锦年旧事酒浓,王者农药，,null,2017-5-31,2
我的老板是贱人啊,现在打游戏，永远不知道对方是什么人,null,2017-5-31,2
史蒂夫丶安卓,就是作业太少！,null,2017-6-1,1
_仙骨生秋,从小玩着腾讯游戏长大的。玩的长花钱多的就是dnf，天涯明月刀和lol。这么多年过去了，只想说一句:腾讯你特码个黑b终于摊上事儿了！,null,2017-6-1,1
普通家庭维多柯里昂,腾讯就是靠我们当初这那些未成年玩游戏起来的,null,2017-6-1,1
流若_,偷钱！ 划重点！偷啊！,null,2017-6-1,1
康小豆-么么哒,两口子该互相告对方，为什么要生下这个孩子，到底是精子的问题还是卵子！,null,2017-6-1,1
放血喂蚊子丶,实名制也没用，我小时侯就拿着父母的身份证号码去注册游戏账号。。应该改下认证方式，就像办腾讯王卡一样，必须要视频认证。。,null,2017-6-1,1
吻心哥哥,孩子犯错了，先想着告别人，就不知道反思下自己吗？,null,2017-6-1,1
贝拉请和我网恋,我就一分钱没充过，一样很开心,null,2017-6-1,1
林俊杰的89757号机器人,为啥要退赔？问题出在自己孩子的身上。,null,2017-6-1,1
草泥马的生活充满阳光啊充满阳光,我以前小学也做过这样的事情，故事会书上说发一个短信扣多少钱就可以获得什么小说。后来我妈妈发现了就和我说不要再发这个短信了，移动后来扣了她好多话费。想想自己真不懂事，自己父母每天才赚多少钱啊！那个时候自己还没有赚钱，根本不知道哪里该花钱哪里不该花钱。讲真，这个时候就是应该被限制的,null,2017-6-1,1
李可爱同学,感觉是腾讯逼未成年人冲钱,null,2017-6-1,1
莱昂的时光,再生一个听话的吧官司打不赢,null,2017-6-1,1
我一句同样的不会跟你说两次,MMP，开局看着皮肤都好屌，以为赢定了，结果……,null,2017-6-1,1
我一句同样的不会跟你说两次,你儿强奸你就告服装厂做的衣服太暴露,null,2017-6-1,1
家里有个蒙蒙,家长圣母婊啊，打了不伤害孩子的棋子想退款,null,2017-6-1,1
红酒先生2019,自己生了个熊孩子，怪人家腾讯？你也是脑子有炮,null,2017-6-1,1
