#用二维码付款被身后人盗刷#,,,,
username,comment,interact,date,likes
sy_Krystal3,一般我都会打开收付款，然后关掉屏幕，等到要付在打开手机，这些人心太大了，才让恶人得逞,null,5-27 08:53,
活宝西瓜,所以结账最后才点开支付，没必要提前点开,null,5-27 08:50,
活宝西瓜,好可怕,null,5-27 08:49,
cassie_宗,@__乌一,null,5-27 08:47,
梦洒幽幽,,null,5-27 08:44,
小时隐于野,每次打开付款码等待的时候我都会把屏幕扣着，我真是谨慎的可怕,null,5-27 08:36,
诤的微博,@李李李李李_y @庄之捷,null,5-26 23:44,
爱笑的红彤彤,我这边沃尔玛发生了一起。报案了。,null,5-26 23:28,
精神分裂的妈,是不是傻实名制是摆设吗,null,5-26 22:26,
空白抹泪,唉，该提高警惕了,null,5-26 21:52,
王永远阿,@冷冷yyyy 你看看多可怕,null,5-26 21:23,
天堂太远___人间正好,很久很久以前，我就设想过这种剧情,共1条回复,5-26 20:27,
雨果爱晨跑,以后要慎用了,null,5-26 19:34,
萌出只猪,@胖猪胖猪快走开,共1条回复,5-26 19:32,
磨砺耐心,所以我在付费前一刻才打开二维码,null,5-26 19:29,
阳光彩虹的梦,唉,null,5-26 19:24,
阿弥陀佛啊上帝,@负能量包_轰,共1条回复,5-26 19:19,
蓦祁,我还是没看懂，怎么刷的，付款的时候不看手机转了多少吗？ 还是用的是付钱码？所以才被盗刷？,共4条回复,5-26 18:56,
-KOO柯柯,@鯤森Sen 你要注意,null,5-27 12:36,1
Fannie方儿,付款吗不是只能用一次吗，为什么店家能扫，背后的盗刷者也能扫,null,5-27 12:28,1
二宝宝爷吖,靠，怪不得我说我之前从超市回来怎么算都不对，就是少了500多块钱，我妈还怪我乱花钱，我自己也算不出账,null,5-27 11:33,1
一只Cat君,以前有个新闻，一个卖猪肉的就把二维码留贴在摊位，后来被人偷换了二维码 顾客的钱都转到别人账户了,null,5-27 11:10,1
玉玊玉,二维码付款为什么不再加个验证密码功能，指纹一刷很快的，即便是输入一个6位密码也用不了太久。,null,5-27 11:00,2
浩宇的苍穹,看似小聪明，其实是傻缺。你这边一盗刷，那边马上有提示，收银员懵逼一调取监控，跑得了吗？而且从盗刷人的信息也可以差的到，真是想钱想疯了呵呵,null,5-27 09:58,1
Pisces_Winnie,防不胜防啊！,null,5-27 09:52,1
瓜小孩儿,妈耶估计要是盗刷我的可能会显示余额不足,共1条回复,5-27 08:51,1
养只小毛驴,那转身的动作真骚气,null,5-27 08:49,1
妈妈说猫咪是世界上最可爱的动物,人模狗样的,null,5-27 08:48,1
-强迫症综合患者,实名制也敢这么搞？！,null,26分钟前,
金牌椰子鸡鉴赏家,@魏魏魏_ 这个是什么操作,null,昨天 23:46,
凯莉kellyko,😱😱😱我经常提前打开二维码等待支付呢，太可怕了，大家要注意⚠️ 你们也会提前打开二维码吗？,null,昨天 21:14,
邓邓的小蜜蜂,扫了之后不是要输密码钱才会扣钱吗？怎么盗的呀,null,昨天 16:04,
67373_寻欢_2C18,这。。。。,null,昨天 15:59,
--Moryine,@天亮说诗桃,null,昨天 15:57,
菜菜小白zxs,可能我脑子不好，数学又差，逻辑能力也不行，居然怎么都想不通这样操作是如何把钱转走的…,共1条回复,昨天 15:55,1
想变锦鲤不行吗,为啥给罪犯打码操作神奇？ 怕我们认出来防着他,null,昨天 15:38,
Mango漫歌,@尼德兰尼德兰 ……实名制防傻贼,共1条回复,昨天 15:27,
