#小学生打赏游戏主播#,,,,
username,comment,interact,date,likes
Jeanniea,1父母不要以为不停工作孩子自己就会变好。问题只要出现了就说明有了不平衡，孩子为什么感到孤独父母应该思考思考，赚钱不是忽略孩子的理由。2主播也是正常收入，愿意退还人家赚来的钱那是人家有良心。3为什么要给孩子手机玩，看直播需要玩很久手机，父母不管么？4游戏平台对未成年人监管不到位。,null,2017-5-28,
Blossom1002,@遥不可及的远方well @张小契是中文大男友 哎，这糟心孩子,null,2017-5-28,
哈尼谭爱宝宝易,这孩子以后是个祸害,null,2017-5-28,
明俊working,现在的孩子真是！,null,2017-5-28,
那顿灰,#天然卷发# 幸亏我穷毛你瞅瞅你家毛团还是蛮好的 最起码花的是自己的毛爷爷,null,2017-5-28,
张瓜皮爱吃瓜呀,这个主播算好的了，不错，小屁孩玩啥游戏。,null,2017-5-28,
凌空风晴雪-晨沐春秋冬,不要告诉我 现在12岁的孩子不知道什么叫打赏 还是虚荣心作祟 死鸭子嘴 还离家出走 家长心太软了,null,2017-5-28,
劉雨誠888,直播平台为何会这么火？,null,2017-5-28,
霍乐禅,这孩子都不体谅一下父母的吗，不知道赚钱不易吗还有，这么多钱居然也是舍得啊,null,2017-5-28,
噼里啪啦酷酷咔咔,熊孩子真欠扇，不会玩就别玩啊，还用辛苦钱讨好不相关的人,null,2017-5-28,
袋鼠带袋袋,一他只是个孩子 直接吊打,null,2017-5-28,
骏马春天,主播没毛病吧,null,2017-5-28,
大蒜老卤面,,null,2017-5-28,
喷子一Turbo,主播平台是该管管了 太乱了,null,2017-5-28,
小小小小小忄忄,实名制没卵用，我没实名照样可以登录,null,2017-5-28,
yellowoleander,可能觉得钱是天上掉下来的吧,null,2017-5-28,
第五雨墨,未成年人，网络直播，不是实名认证。？,null,2017-5-28,1
姜较瘦哇,这种情况恐怕腿不保啊,null,2017-5-28,
石斑路有雾,这一代的消费观念确实与我们不同。,null,2017-5-28,
正正er,呵呵哒,null,2017-5-28,
李康30497,还好主播好， 可以的 去点关注,null,2017-5-28,1
一只寂寞的圆粉提莫,这让18岁才有自己银行卡的我很是尴尬啊,null,2017-6-2,
又欠君呀,主播不错,null,2017-5-30,
传情小小,1首先第一画面看到的是家长当着所有人的面在打孩子，并且还是严重的扇脸，这种方式的打骂不知是从小还是一次，导致孩子变成什么样我相信网友都会知道 2 近期听到无数孩子因为手游出现问题，我们看到已经加强了管理力度，沉迷于游戏这是我们很容易犯并不知道的错误 3 主播愿意退还是个人意愿，并且我认,null,2017-5-29,
不负好食堂,不评论小孩，母亲教育也有问题，动不动直接打脸,null,2017-5-29,
我就是个FWFW,给我电他，往死里电，杨永信网监中心，给我电，滋滋滋,null,2017-5-29,
外汇开户招商,心疼孩子母亲,null,2017-5-29,
粉色裙子的女孩,这孩子切得好好管管，都说穷人孩子早当家，不小了应该能理解母亲的辛苦,null,2017-5-29,
念尔易生-,孩子的教育尤其是青春期的孩子其实大部分还是在于家长的引导和家庭环境，叛逆一定会有，但是家长督促也必不可少，12岁正是三观建立的时候，事情已经发生，别放弃孩子，也许职业有一定限制，但是对孩子的教育不能少，找一点点时间陪他聊聊天也许也可以起到作用，我有个这样的弟弟，网络很害人，但是有好,null,2017-5-29,
-厄瓜多尔北极熊-,@姬鹏辉Younet 翔耀 以后手机上发现一起处理一起 做好心理准备哟,null,2017-5-29,
不再等风bye,此处手动@变形计官方微博,null,2017-5-29,
不再等风bye,此处@变形计官方微博,null,2017-5-29,
机智勇敢的南木_,@我记得我们都说过ai,null,2017-5-29,
敬往事一杯酒vv,那些直播平台的老总又一天会很惨！,null,2017-5-29,
敬往事一杯酒vv,腾讯老总有一天下场会很惨！,null,2017-5-29,
秦皇嬴政隋帝杨广,王者农药真那么好玩吗？实在不喜欢那种画面,null,2017-5-29,1
派大星头好大,其实我也不是很懂为什么会有人打赏主播。。,null,2017-5-28,
晨彦祖,小伙子还是太年轻，四万块钱可以玩更多好玩的事的…,null,2017-5-28,
一年改五次微博昵称,@Silverskies,null,2017-5-28,
