#11岁小学生打赏男主播#,,,,
username,comment,interact,date,likes
博文崽,或许接下来她妈妈的行动是收购此平台了。,null,4-12 03:56,
拂衣羽落,ID夷陵老祖…这小学生是MD粉呐,null,4-12 02:36,
谢知非不姓谢,了,null,4-12 01:37,
DramaQueen就是矫情,我信用卡都没这个额度……,null,4-12 01:36,
韶华散尽春已老,小孩子确实不懂事，不过这种主播真的狗//@开水族馆的生物男: 这种垃圾有办法收拾不//@儿科医生崔咏望:主播说到动情处竟有点无语凝噎，这么好的苗子不进娱乐圈真浪费了,null,4-12 01:29,
一味喵,哈哈哈哈哈哈哈哈哈这个语音 哈哈哈哈哈哈哈哈哈,null,4-12 01:03,
灰白胶,主播这个职业，跟诈骗有多大区别？简直就是一线之隔。,null,4-12 00:56,
板凳儿好宽啊,东北人,null,4-12 00:49,
壁咚的狗狗叫咚咚,@小烛妖 有钱,null,4-12 00:39,
Cathy萤,没有民事行为能力人的消费都是能让监护人退回的吧！之前做淘宝就经常遇上这种家长要求退货的事件。不过数额比较小。,null,4-12 00:33,
想飞的WJ,起诉诈骗,null,4-12 00:24,
Thomas20181212,这么多钱，我也会凝噎,null,4-12 00:16,
期盼光明的仙er,太多网络主播带动了不好的风气 把小孩子们都带坏了 建议未成年人禁止看网络主播 希望网络平台多一些有真识学的人 少一些刚成年 就辍学 的社会小孩 误人误己 网风太差,null,4-12 00:15,
嘎吱嘎栀,，如果按民法来说，11岁小孩子属于限制民事行为能力人，刷140多万的行为明显需要父母同意或追认，现在孩子父母明显是不同意追认的，孩子打赏的行为无效。不过现实生活吞了钱的平台让它吐出来没那么容易,null,4-12 00:07,
一直真二,未成年要退,null,4-12 00:00,
徐顶,啥家庭信用卡能刷140万家里有矿吗？,null,4-11 23:56,
Im__feng,被洗脑了！可怜,null,4-11 23:51,
福加走字底,还是那熟悉的口音。。,null,4-11 23:45,
末日前溪,不知道这位妈妈还缺儿子不？20多不看直播的那种,null,4-11 23:39,
Hazdzz,好有钱,null,4-11 23:39,
是小雨而不是小鲨的kosame,生小孩真是各种风险啊……,null,4-11 23:37,
言灵-SAI,我信用卡只有五六万额度……,null,4-11 23:37,
无心草之草,啥家庭啊，能刷140万信用卡……,null,4-11 23:34,
斗战狂魔five,怎么感觉这个主播有诈骗嫌疑,null,4-11 23:29,
唯爱全宝蓝有深度,真有钱,null,4-11 22:52,
深圳焦迈奇,平台为啥还要退回呢？,null,4-11 21:49,4
余裕已经不多,这家人还缺孩子不绝对不会刷信用卡打赏主播的那种,null,4-11 22:43,1
呵呵呵呵Rain,@苏小芒戴围脖,null,4-13 10:37,
洗粪池的少女就是我,这主播真会演啊，最后还带着哭腔~~~,null,4-11 23:25,
有缘有份有理想,活该还。真好,null,4-11 23:18,
可爱的李大硕先生,这孩子现在还活着呢么？,null,4-11 22:06,
俺最love的蜂蜜,经济发展的不错啊,null,4-11 21:49,
王建军20,对信用卡额度只有2000的我来说，这都不是事,null,4-12 13:27,
流氓刺猬老干妈enigma,吓死了，,null,4-12 12:02,
杰西麦克雷,欺骗小学生还不退钱？,null,4-12 00:22,
冯牛牛冯,而且明知道是个孩子，还一直诱导哄她……这不是骗小孩的钱吗？,null,4-12 00:13,
永贵_表酱子,"没事，只有我和你们这些穷🐶 才在这里酸，富养就是富养。能让孩子这样刷基本上孩子都是一身中高档童装了。刷破产不怨。90年代我朋友他老爸每一天小学给他100零花钱.现在刚结婚了.他爸把他养得一事无成经常喝酒.肚子大得一b,他高中，我大学，但现在他开着宾利.我开着日产.同样是深圳人.差距真大！",null,4-11 23:37,1
鞠先生啊,国家是不是应该出台政策规范孩子打赏主播治理办法,null,4-11 22:08,
嗱嗱嗱嗱嗱声,呵呵~为啥能用到父母的信用卡~,null,4-11 21:53,
就是爱简评,有钱人就是不一样，大人的手机要上锁，不要给小孩，要不就买个千元机给他们玩。,null,4-11 21:51,
二营长的意大利空心粉,@多好一小伙呀,null,4-15 02:06,
又年轻又英俊的胖虎,建议关停该平台,null,4-12 13:46,
freesiamyha,好有钱啊@熊仔是小魔王,null,4-12 13:36,
大脸圆橘子,@路路路路路路路路路,null,4-12 12:10,
熊猫猫_Ka,有钱啊！@poodle小纸团,null,4-12 11:36,
关中道_mmy,谁的责任谁担着，违法所得没收了，资源配置不合理，神马怪事都有呢～骗子咋不骗我呢？咱身边不留多余的钱啊！,null,4-12 00:57,
淡浓丶,@追与梦 流弊,null,4-12 00:14,
没实锤别废话,我家的每一张信用卡都不能透支,null,4-12 00:04,
cain-s-sky,移动支付的固有问题是，你永远不可能知道屏幕背后的人是不是具备民事行为能力，当然盗刷之类的犯罪行为另当别论，毕竟一般情况下这种犯罪行为也是愚蠢到证据确凿了。所以平台返款其实是对这种未成年人刷父母卡行为的助长，时代不一样了，当代家长应该教会自己孩子如何使用手机，看好自己的手机钱包。,null,4-11 23:43,
万能的大熊,微信的聊天记录都保存在本地，盗号应该也是没有用的。这个家长的额度真高，信用卡能刷100多万。,null,4-11 23:42,
A级柠檬糖,@Xjh-999- 有钱,null,4-11 23:42,
吃兔崽崽QvQ,@ZERO447 我也想被打赏个200万,null,4-11 23:39,
楠木木木木木木木木木,@风声客,null,4-11 23:38,
桂洪贸易公司,刷一万，银行都打电话来了,null,4-11 23:06,
污力菲菲,@叶儿馨儿 吓屎了,null,4-11 23:00,
选召,这些主播也该好好惩治,null,4-11 22:44,1
我喜欢吃荔枝,@_兔子兔,null,4-11 22:35,
XU氵告,平台没有错，谁知道是家长刷的还是小孩刷的怎么证明就是小孩弄的，,null,4-11 22:21,
硬币1Q87,一般人信用卡估计是刷不出140万啊。。。,null,4-11 22:18,
郁闷假逍遥,666666,null,4-11 22:11,
最终的第一人称视角,这些平台啊，游戏，包括微信能不能再严格规范一下？,null,4-11 22:08,
莫问来者-,这种家庭就是需要这样的孩子，不然风水怎么轮流转啊,null,4-11 22:06,
雨景yan,这个跟腾讯什么关系 为什么下一步要去找腾讯,null,4-11 22:04,1
诺father,有钱人啊！这么高的信用额度,null,4-11 22:00,
小王0211,真有钱，信用卡额度140万，这不光是作业太少，而且家里还有矿啊,null,4-11 21:57,
Smirk妍,@别薅我的毛,null,4-11 21:55,
诛心诀,“如果孩子不用来混合双打，那生下来将毫无意义！”——《视觉韩国》,null,4-11 21:51,
小粒子_Paula,一分钟...刷掉了几个月的工资！,null,4-11 21:50,
马总,家里有矿啊,null,4-11 21:49,1
